Datetime,Open,High,Low,Close,Volume
2024-01-01 18:00:00-05:00,17019.0,17027.0,17013.75,17025.75,2321
2024-01-01 18:15:00-05:00,17025.75,17037.0,17025.5,17033.25,1145
2024-01-01 18:30:00-05:00,17033.25,17036.25,17027.75,17027.75,805
2024-01-01 18:45:00-05:00,17027.5,17031.0,17027.25,17029.5,311
2024-01-01 19:00:00-05:00,17030.0,17030.75,17026.5,17027.5,506
2024-01-01 19:15:00-05:00,17027.5,17028.5,17018.5,17019.75,716
2024-01-01 19:30:00-05:00,17019.75,17027.5,17018.5,17026.0,640
2024-01-01 19:45:00-05:00,17026.25,17028.0,17024.5,17027.0,408
2024-01-01 20:00:00-05:00,17026.75,17038.5,17026.25,17029.25,1656
2024-01-01 20:15:00-05:00,17029.5,17036.5,17026.75,17029.25,1008
2024-01-01 20:30:00-05:00,17029.0,17031.5,17010.75,17014.75,1582
2024-01-01 20:45:00-05:00,17015.0,17022.5,17013.75,17014.5,1009
2024-01-01 21:00:00-05:00,17014.5,17019.0,17013.75,17016.5,750
2024-01-01 21:15:00-05:00,17017.0,17017.0,17010.25,17011.5,946
2024-01-01 21:30:00-05:00,17011.75,17013.25,17006.5,17011.0,899
2024-01-01 21:45:00-05:00,17011.0,17011.5,17001.0,17008.25,946
2024-01-01 22:00:00-05:00,17008.25,17013.0,17008.25,17011.5,545
2024-01-01 22:15:00-05:00,17011.5,17012.0,17004.5,17009.0,585
2024-01-01 22:30:00-05:00,17009.25,17010.25,17003.0,17007.75,368
2024-01-01 22:45:00-05:00,17007.75,17009.75,17002.25,17007.5,526
2024-01-01 23:00:00-05:00,17007.25,17008.0,17003.25,17008.0,368
2024-01-01 23:15:00-05:00,17008.25,17008.75,17005.5,17007.75,259
2024-01-01 23:30:00-05:00,17008.0,17013.0,17007.25,17009.75,638
2024-01-01 23:45:00-05:00,17009.25,17011.5,17007.5,17007.75,261
